e_rec,gammaFullNL,electronFullNL,positronFullNL
3.4500,3.397438,3.295394,3.457614
3.4600,3.407040,3.304909,3.467130
3.4700,3.416640,3.314458,3.476654
3.4800,3.426239,3.323975,3.486175
3.4900,3.435837,3.333494,3.495695
3.5000,3.445434,3.343043,3.505197
3.5100,3.455029,3.352559,3.514727
3.5200,3.464623,3.362112,3.524240
3.5300,3.474215,3.371629,3.533743
3.5400,3.483806,3.381160,3.543285
3.5500,3.493396,3.390700,3.552789
3.5600,3.502984,3.400218,3.562331
3.5700,3.512571,3.409784,3.571835
3.5800,3.522157,3.419314,3.581347
3.5900,3.531741,3.428866,3.590883
3.6000,3.541324,3.438411,3.600401
3.6100,3.550906,3.447942,3.609932
3.6200,3.560486,3.457509,3.619438
3.6300,3.570065,3.467041,3.628972
3.6400,3.579643,3.476603,3.638508
3.6500,3.589219,3.486141,3.648050
3.6600,3.598794,3.495674,3.657582
3.6700,3.608368,3.505243,3.667100
3.6800,3.617940,3.514776,3.676649
3.6900,3.627511,3.524345,3.686177
3.7000,3.637081,3.533880,3.695730
3.7100,3.646649,3.543420,3.705254
3.7200,3.656216,3.552985,3.714775
3.7300,3.665782,3.562520,3.724333
3.7400,3.675346,3.572091,3.733854
3.7500,3.684909,3.581627,3.743413
3.7600,3.694470,3.591176,3.752934
3.7700,3.704031,3.600734,3.762467
3.7800,3.713590,3.610245,3.772016
3.7900,3.723147,3.619794,3.781539
3.8000,3.732704,3.629305,3.791078
3.8100,3.742259,3.638841,3.800623
3.8200,3.751812,3.648368,3.810167
3.8300,3.761364,3.657880,3.819709
3.8400,3.770915,3.667431,3.829225
3.8500,3.780465,3.676944,3.838766
3.8600,3.790013,3.686493,3.848292
3.8700,3.799560,3.696010,3.857838
3.8800,3.809106,3.705527,3.867361
3.8900,3.818650,3.715077,3.876876
3.9000,3.828193,3.724592,3.886430
3.9100,3.837735,3.734145,3.895947
3.9200,3.847275,3.743661,3.905502
3.9300,3.856814,3.753190,3.915018
3.9400,3.866352,3.762731,3.924544
3.9500,3.875888,3.772248,3.934092
3.9600,3.885423,3.781802,3.943609
3.9700,3.894957,3.791320,3.953166
3.9800,3.904489,3.800861,3.962684
3.9900,3.914021,3.810400,3.972222
4.0000,3.923550,3.819925,3.981761
4.0100,3.933079,3.829487,3.991280
4.0200,3.942606,3.839012,4.000839
4.0300,3.952132,3.848569,4.010359
4.0400,3.961656,3.858101,4.019908
4.0500,3.971179,3.867628,4.029446
4.0600,3.980701,3.877191,4.038977
4.0700,3.990222,3.886718,4.048541
4.0800,3.999741,3.896283,4.058077
4.0900,4.009382,3.905810,4.067644
4.1000,4.019026,3.915346,4.077178
4.1100,4.028669,3.924904,4.086713
4.1200,4.038311,3.934433,4.096281
4.1300,4.047953,3.943999,4.105814
4.1400,4.057593,3.953528,4.115384
4.1500,4.067233,3.963074,4.124918
4.1600,4.076873,3.972625,4.134463
4.1700,4.086511,3.982155,4.144024
4.1800,4.096149,3.991723,4.153559
4.1900,4.105786,4.001255,4.163132
4.2000,4.115422,4.010814,4.172667
4.2100,4.125058,4.020362,4.182221
4.2200,4.134693,4.029898,4.191776
4.2300,4.144327,4.039470,4.201313
4.2400,4.153960,4.049007,4.210887
4.2500,4.163593,4.058574,4.220424
4.2600,4.173225,4.068117,4.229988
4.2700,4.182856,4.077654,4.239538
4.2800,4.192486,4.087228,4.249078
4.2900,4.202116,4.096767,4.258654
4.3000,4.211744,4.106341,4.268194
4.3100,4.221372,4.115880,4.277766
4.3200,4.231000,4.125425,4.287312
4.3300,4.240626,4.134995,4.296853
4.3400,4.250252,4.144535,4.306430
4.3500,4.259877,4.154111,4.315972
4.3600,4.269502,4.163651,4.325551
4.3700,4.279125,4.173204,4.335093
4.3800,4.288748,4.182769,4.344641
4.3900,4.298370,4.192311,4.354215
4.4000,4.307991,4.201889,4.363759
4.4100,4.317612,4.211431,4.373339
4.4200,4.327232,4.220992,4.382883
4.4300,4.336851,4.230552,4.392438
4.4400,4.346469,4.240095,4.402008
4.4500,4.356087,4.249675,4.411553
4.4600,4.365704,4.259218,4.421134
4.4700,4.375320,4.268787,4.430690
4.4800,4.384935,4.278343,4.440263
4.4900,4.394550,4.287888,4.449841
4.5000,4.404164,4.297469,4.459399
4.5100,4.413777,4.307014,4.468993
4.5200,4.423389,4.316590,4.478552
4.5300,4.433001,4.326142,4.488131
4.5400,4.442612,4.335688,4.497706
4.5500,4.452222,4.345271,4.507266
4.5600,4.461832,4.354818,4.516861
4.5700,4.471440,4.364401,4.526422
4.5800,4.481048,4.373948,4.536006
4.5900,4.490656,4.383499,4.545579
4.6000,4.500262,4.393081,4.555140
4.6100,4.509868,4.402629,4.564728
4.6200,4.519473,4.412214,4.574299
4.6300,4.529077,4.421763,4.583889
4.6400,4.538680,4.431321,4.593460
4.6500,4.548283,4.440898,4.603023
4.6600,4.557885,4.450449,4.612615
4.6700,4.567487,4.460035,4.622185
4.6800,4.577087,4.469586,4.631756
4.6900,4.586687,4.479150,4.641299
4.7000,4.596286,4.488724,4.650837
4.7100,4.605884,4.498276,4.660413
4.7200,4.615482,4.507873,4.669953
4.7300,4.625079,4.517438,4.679530
4.7400,4.634675,4.527019,4.689070
4.7500,4.644270,4.536603,4.698616
4.7600,4.653865,4.546168,4.708189
4.7700,4.663459,4.555768,4.717730
4.7800,4.673052,4.565335,4.727308
4.7900,4.682644,4.574921,4.736850
4.8000,4.692236,4.584502,4.746404
4.8100,4.701827,4.594070,4.755971
4.8200,4.711417,4.603672,4.765514
4.8300,4.721006,4.613239,4.775094
4.8400,4.730595,4.622830,4.784637
